scope;key;label;required;nl;fr;en;de;es;pl;pt;tr
CATALOG;catalog.common.family.plural;Family plural;true;FAMILIES;FAMILLES;FAMILIES;FAMILIEN;FAMILIAS;RODZINY;FAMÍLIAS;AİLELER
CATALOG;catalog.common.variant.singular;Variant singular;true;UITVOERING;VARIANTE;VARIANT;AUSFÜHRUNG;VARIANTE;WARIANT;VARIANTE;VARYANT
CATALOG;catalog.common.variant.plural;Variants plural;true;UITVOERINGEN;VARIANTES;VARIANTS;AUSFÜHRUNGEN;VARIANTES;WARIANTY;VARIANTES;VARYANTLAR
CATALOG;catalog.common.selectedfamily.singular;Product family singular;true;productfamilie;famille de produits;product family;Produktfamilie;familia de productos;rodzina produktów;família de produtos;ürün ailesi
CATALOG;catalog.common.selectedfamily.plural;Product families plural;true;productfamilies;familles de produits;product families;Produktfamilien;familias de productos;rodziny produktów;famílias de produtos;ürün aileleri
CATALOG;catalog.simple.title;Simple catalogue title;true;Groothandelscatalogus;Catalogue grossiste;Wholesale Catalogue;Großhandelskatalog;Catálogo mayorista;Katalog hurtowy;Catálogo grossista;Toptan Katalog
CATALOG;catalog.simple.vatnumber;VAT number label;true;BTW-nummer;N° de TVA;VAT number;USt-IdNr.;NIF-IVA;NIP;NIF;Vergi numarası
CATALOG;catalog.simple.item.singular;Simple item singular;true;artikel;article;item;Artikel;artículo;artykuł;artigo;ürün
CATALOG;catalog.simple.item.plural;Simple item plural;true;artikelen;articles;items;Artikel;artículos;artykuły;artigos;ürün
CATALOG;catalog.simple.perbox;Pieces per box;true;per doos;par carton;per box;pro Karton;por caja;w kartonie;por caixa;koli başına
CATALOG;catalog.simple.perpiece;Price per piece;true;per stuk;par pièce;per piece;pro Stück;por unidad;za sztukę;por unidade;adet başına
CATALOG;catalog.simple.outofstock;Out of stock;true;Niet op voorraad;Rupture de stock;Out of stock;Nicht auf Lager;Agotado;Brak w magazynie;Sem stock;Stokta yok
CATALOG;catalog.simple.footer;Simple footer;true;Prijzen, beschikbaarheid en levertijden worden bevestigd in de offerte.;Les prix, la disponibilité et les délais sont confirmés dans le devis.;Prices, availability and lead times are confirmed in the quotation.;Preise, Verfügbarkeit und Lieferzeiten werden im Angebot bestätigt.;Los precios, la disponibilidad y los plazos se confirman en el presupuesto.;Ceny, dostępność i terminy są potwierdzane w ofercie.;Os preços, a disponibilidade e os prazos são confirmados no orçamento.;Fiyatlar, stok durumu ve teslim süreleri teklifte onaylanır.
CATALOG;catalog.brochure.defaulttitle;Brochure default cover title;true;Gepreserveerde rozen,;Roses préservées,;Preserved roses,;Konservierte Rosen,;Rosas preservadas,;Róże stabilizowane,;Rosas preservadas,;Korunmuş güller,
CATALOG;catalog.brochure.defaultsubtitle;Brochure default cover subtitle;true;klaar voor retail.;prêtes pour la vente au détail.;ready for retail.;bereit für den Handel.;listas para retail.;gotowe do sprzedaży.;prontas para o retalho.;perakendeye hazır.
CATALOG;catalog.brochure.defaultintro;Brochure default introduction;true;Langdurige geschenken voor counters, bloemisten en groothandel - van gepreserveerde displayrozen tot stolpen, flowerboxen en decoratieve rozen.;Des cadeaux durables pour comptoirs, fleuristes et grossistes - des roses préservées aux cloches, flowerboxes et roses décoratives.;Long-lasting gifting for counters, flower shops and wholesale buyers - from preserved display roses to domes, flowerboxes and decorative roses.;Langlebige Geschenkideen für Kassenbereiche, Floristen und Großhandel - von konservierten Displayrosen bis zu Glaskuppeln, Flowerboxen und dekorativen Rosen.;Regalos duraderos para mostradores, floristerías y mayoristas - desde rosas preservadas de exposición hasta cúpulas, flowerboxes y rosas decorativas.;Trwałe upominki na lady, do kwiaciarni i dla hurtowni - od stabilizowanych róż ekspozycyjnych po klosze, flowerboxy i róże dekoracyjne.;Presentes duradouros para balcões, floristas e grossistas - de rosas preservadas de exposição a cúpulas, flowerboxes e rosas decorativas.;Tezgâhlar, çiçekçiler ve toptan alıcılar için kalıcı hediyeler - korunmuş teşhir güllerinden fanuslara, flowerboxlara ve dekoratif güllere.
CATALOG;catalog.brochure.cover.imagealt;Cover image alt;true;ENROSED-collectie;Collection ENROSED;ENROSED collection;ENROSED-Kollektion;Colección ENROSED;Kolekcja ENROSED;Coleção ENROSED;ENROSED koleksiyonu
CATALOG;catalog.brochure.intro.eyebrow;Intro eyebrow;true;GROOTHANDELSCOLLECTIE;COLLECTION PROFESSIONNELLE;WHOLESALE COLLECTION;GROSSHANDELSKOLLEKTION;COLECCIÓN MAYORISTA;KOLEKCJA HURTOWA;COLEÇÃO GROSSISTA;TOPTAN KOLEKSİYON
CATALOG;catalog.brochure.intro.titleone;Intro title line one;true;Eén duidelijke collectie.;Une collection claire.;One clear collection.;Eine klare Kollektion.;Una colección clara.;Jedna przejrzysta kolekcja.;Uma coleção clara.;Tek ve net bir koleksiyon.
CATALOG;catalog.brochure.intro.titletwo;Intro title line two;true;Alles wat u nodig hebt om te bestellen.;Tout ce qu'il faut pour commander.;Everything you need to order.;Alles, was Sie zum Bestellen brauchen.;Todo lo necesario para pedir.;Wszystko, czego potrzeba do zamówienia.;Tudo o que precisa para encomendar.;Sipariş için ihtiyacınız olan her şey.
CATALOG;catalog.brochure.intro.select.eyebrow;Select step eyebrow;true;01 · KIES;01 · SÉLECTIONNER;01 · SELECT;01 · AUSWÄHLEN;01 · ELEGIR;01 · WYBIERZ;01 · SELECIONAR;01 · SEÇ
CATALOG;catalog.brochure.intro.select.title;Select step title;true;Kies uw assortiment;Choisissez votre gamme;Choose your range;Sortiment wählen;Elige tu gama;Wybierz asortyment;Escolha a sua gama;Ürün grubunuzu seçin
CATALOG;catalog.brochure.intro.select.body;Select step body;true;Elke geselecteerde kleur en maat blijft een afzonderlijke bestelbare SKU binnen één duidelijke productfamilie.;Chaque couleur et taille sélectionnée reste une SKU distincte et commandable au sein d'une même famille de produits.;Every selected colour and size remains a separate, orderable SKU inside one clear product family.;Jede gewählte Farbe und Größe bleibt eine separat bestellbare SKU innerhalb einer klaren Produktfamilie.;Cada color y tamaño seleccionado sigue siendo una SKU independiente y pedible dentro de una familia clara.;Każdy wybrany kolor i rozmiar pozostaje osobnym SKU do zamówienia w ramach jednej rodziny produktów.;Cada cor e tamanho selecionado continua a ser um SKU separado e encomendável numa família clara.;Seçilen her renk ve boyut, tek bir ürün ailesi içinde ayrı ve sipariş edilebilir bir SKU olarak kalır.
CATALOG;catalog.brochure.intro.compare.eyebrow;Compare step eyebrow;true;02 · VERGELIJK;02 · COMPARER;02 · COMPARE;02 · VERGLEICHEN;02 · COMPARAR;02 · PORÓWNAJ;02 · COMPARAR;02 · KARŞILAŞTIR
CATALOG;catalog.brochure.intro.compare.title;Compare step title;true;Lees echte logistiek;Lisez les données logistiques;Read real logistics;Logistik klar lesen;Consulta la logística real;Sprawdź dane logistyczne;Consulte a logística real;Gerçek lojistik verilerini okuyun
CATALOG;catalog.brochure.intro.compare.body;Compare step body;true;Productmaat, omdoos, verpakkingsaantal, prijzen en EAN staan samen voor eenvoudig bestellen.;Les dimensions, le carton, la quantité, les prix et les EAN sont réunis pour faciliter la commande.;Product size, carton size, pack quantity, prices and EAN values are shown together for easy ordering.;Produktmaß, Umkarton, Packmenge, Preise und EAN stehen für eine einfache Bestellung zusammen.;Las medidas, la caja, la cantidad, los precios y los EAN aparecen juntos para facilitar el pedido.;Wymiary, karton, liczba sztuk, ceny i EAN są pokazane razem, aby ułatwić zamówienie.;Dimensões, caixa, quantidade, preços e EAN são apresentados juntos para facilitar a encomenda.;Ürün ölçüsü, koli ölçüsü, paket adedi, fiyatlar ve EAN kolay sipariş için birlikte gösterilir.
CATALOG;catalog.brochure.intro.order.eyebrow;Order step eyebrow;true;03 · BESTEL;03 · COMMANDER;03 · ORDER;03 · BESTELLEN;03 · PEDIR;03 · ZAMÓW;03 · ENCOMENDAR;03 · SİPARİŞ
CATALOG;catalog.brochure.intro.order.title;Order step title;true;Vraag een offerte;Demandez un devis;Request a quote;Angebot anfordern;Solicita un presupuesto;Poproś o ofertę;Peça um orçamento;Teklif isteyin
CATALOG;catalog.brochure.intro.order.body;Order step body;true;Beschikbaarheid, vracht en levertijden worden bevestigd voor de exacte mix en aantallen die u nodig hebt.;La disponibilité, le transport et les délais sont confirmés pour la combinaison et les quantités souhaitées.;Availability, freight and lead times are confirmed for the exact mix and quantities you need.;Verfügbarkeit, Fracht und Lieferzeiten werden für den gewünschten Mix und die Mengen bestätigt.;La disponibilidad, el transporte y los plazos se confirman para la combinación y cantidades necesarias.;Dostępność, transport i terminy są potwierdzane dla wybranego zestawu i ilości.;A disponibilidade, o transporte e os prazos são confirmados para a combinação e quantidades pretendidas.;Stok, nakliye ve teslim süreleri ihtiyaç duyduğunuz ürün karması ve miktarlar için teyit edilir.
CATALOG;catalog.brochure.intro.imagealt;Intro display image alt;true;ENROSED-counterdisplay;Présentoir de comptoir ENROSED;ENROSED counter display;ENROSED-Thekendisplay;Expositor de mostrador ENROSED;Ekspozytor na ladę ENROSED;Expositor de balcão ENROSED;ENROSED tezgâh standı
CATALOG;catalog.brochure.carenote;Care note;true;Geschikt voor warme seizoenen in normale binnenverkoop. Vermijd direct zonlicht, verwarming, hoge luchtvochtigheid en extreme hitte.;Adapté aux saisons chaudes en intérieur normal. Éviter le soleil direct, les radiateurs, l'humidité élevée et la chaleur extrême.;Warm-season friendly in normal indoor retail. Keep away from direct sun, heaters, high humidity and extreme heat.;Für warme Jahreszeiten im normalen Innenverkauf geeignet. Direkte Sonne, Heizungen, hohe Feuchtigkeit und extreme Hitze vermeiden.;Apto para temporadas cálidas en interiores normales. Evitar sol directo, calefacción, humedad alta y calor extremo.;Odpowiednie na ciepłe sezony w normalnych wnętrzach. Chronić przed słońcem, grzejnikami, wilgocią i skrajnym ciepłem.;Adequado a épocas quentes em interiores normais. Evitar sol direto, aquecedores, humidade elevada e calor extremo.;Normal iç mekân satışında sıcak mevsimlere uygundur. Doğrudan güneşten, ısıtıcılardan, yüksek nemden ve aşırı sıcaktan uzak tutun.
CATALOG;catalog.brochure.page.intro;Intro page label;true;INTRO;INTRODUCTION;INTRO;EINFÜHRUNG;INTRODUCCIÓN;WPROWADZENIE;INTRODUÇÃO;GİRİŞ
CATALOG;catalog.brochure.contents.eyebrow;Contents eyebrow;true;COLLECTIE-INDEX;INDEX DE COLLECTION;COLLECTION INDEX;KOLLEKTIONSINDEX;ÍNDICE DE COLECCIÓN;INDEKS KOLEKCJI;ÍNDICE DA COLEÇÃO;KOLEKSİYON DİZİNİ
CATALOG;catalog.brochure.contents.title;Contents title;true;Inhoud;Sommaire;Contents;Inhalt;Contenido;Spis treści;Conteúdo;İçindekiler
CATALOG;catalog.brochure.contents.subtitle;Contents subtitle;true;Geselecteerde families en varianten, gegroepeerd voor eenvoudig bestellen;Familles et variantes sélectionnées, regroupées pour faciliter la commande;Selected families and variants, grouped for easy ordering;Ausgewählte Familien und Varianten, für einfache Bestellung gruppiert;Familias y variantes seleccionadas, agrupadas para facilitar el pedido;Wybrane rodziny i warianty, pogrupowane dla łatwego zamawiania;Famílias e variantes selecionadas, agrupadas para facilitar a encomenda;Seçilen aileler ve varyantlar, kolay sipariş için gruplandı
CATALOG;catalog.brochure.overview.eyebrow;Range overview eyebrow;true;HANDELSASSORTIMENT;GAMME PROFESSIONNELLE;WHOLESALE RANGE;GROSSHANDELSSORTIMENT;GAMA MAYORISTA;ASORTYMENT HURTOWY;GAMA GROSSISTA;TOPTAN ÜRÜN GRUBU
CATALOG;catalog.brochure.overview.title;Range overview title;true;Het volledige assortiment in één oogopslag.;Toute la gamme en un coup d’œil.;The complete range at a glance.;Das gesamte Sortiment auf einen Blick.;Toda la gama de un vistazo.;Cały asortyment w jednym miejscu.;Toda a gama num só olhar.;Tüm ürün grubu tek bakışta.
CATALOG;catalog.brochure.overview.subtitle;Range overview subtitle;true;Klik op een product voor de detailpagina.;Sélectionnez un produit pour ouvrir sa fiche détaillée.;Select a product to open its detail page.;Wählen Sie ein Produkt, um die Detailseite zu öffnen.;Seleccione un producto para abrir su página de detalle.;Wybierz produkt, aby otworzyć jego stronę szczegółową.;Selecione um produto para abrir a página de detalhe.;Detay sayfasını açmak için bir ürün seçin.
CATALOG;catalog.brochure.overview.referenceprice;Reference price label;true;Referentieprijs;Prix indicatif;Reference price;Referenzpreis;Precio de referencia;Cena referencyjna;Preço de referência;Referans fiyat
CATALOG;catalog.brochure.overview.pricebasis;Reference price basis;true;Referentieprijzen per stuk in EUR, exclusief BTW en levering.;Prix indicatifs par pièce en EUR, hors TVA et livraison.;Reference prices per piece in EUR, excluding VAT and delivery.;Referenzpreise pro Stück in EUR, ohne MwSt. und Lieferung.;Precios de referencia por unidad en EUR, sin IVA ni entrega.;Ceny referencyjne za sztukę w EUR, bez VAT i dostawy.;Preços de referência por unidade em EUR, sem IVA nem entrega.;EUR cinsinden adet başına referans fiyatlar, KDV ve teslimat hariçtir.
CATALOG;catalog.brochure.overview.priceonrequest;Price on request;true;Prijs op aanvraag;Prix sur demande;Price on request;Preis auf Anfrage;Precio previa solicitud;Cena na zapytanie;Preço sob consulta;Fiyat için bilgi alın
CATALOG;catalog.brochure.overview.viewdetail;View product detail;true;Bekijk product;Voir le produit;View product;Produkt ansehen;Ver producto;Zobacz produkt;Ver produto;Ürünü görüntüle
CATALOG;catalog.brochure.overview.from;From price;true;Vanaf;À partir de;From;Ab;Desde;Od;Desde;Başlangıç
CATALOG;catalog.brochure.page.index;Index page label;true;INDEX;INDEX;INDEX;INDEX;ÍNDICE;INDEKS;ÍNDICE;DİZİN
CATALOG;catalog.brochure.comparison.eyebrow;Comparison eyebrow;true;OVERZICHT GROOTHANDELSASSORTIMENT;APERÇU DE LA GAMME PROFESSIONNELLE;WHOLESALE RANGE OVERVIEW;ÜBERSICHT GROSSHANDELSSORTIMENT;RESUMEN DE GAMA MAYORISTA;PRZEGLĄD OFERTY HURTOWEJ;VISÃO GERAL DA GAMA GROSSISTA;TOPTAN ÜRÜN GRUBU ÖZETİ
CATALOG;catalog.brochure.comparison.title;Comparison title;true;Retailklare producten, snel vergeleken.;Produits prêts pour la vente au détail, comparés rapidement.;Retail-ready products, compared quickly.;Verkaufsfertige Produkte schnell verglichen.;Productos listos para retail, comparados rápidamente.;Produkty gotowe do sprzedaży, szybkie porównanie.;Produtos prontos para o retalho, comparados rapidamente.;Perakendeye hazır ürünleri hızlıca karşılaştırın.
CATALOG;catalog.brochure.comparison.subtitle;Comparison subtitle;true;Counterdisplays + zeep- en decoratieve rozen;Présentoirs de comptoir + roses savon et décoratives;Counter Displays + Soap & Decorative Roses;Thekendisplays + Seifen- und Dekorrosen;Expositores de mostrador + rosas de jabón y decorativas;Ekspozytory na ladę + róże mydlane i dekoracyjne;Expositores de balcão + rosas de sabão e decorativas;Tezgâh standları + sabun ve dekoratif güller
CATALOG;catalog.brochure.comparison.counter;Counter display label;true;Counterdisplays;Présentoirs de comptoir;Counter Displays;Thekendisplays;Expositores de mostrador;Ekspozytory na ladę;Expositores de balcão;Tezgâh standları
CATALOG;catalog.brochure.comparison.decorative;Decorative roses label;true;Zeep- en decoratieve rozen;Roses savon et décoratives;Soap & Decorative Roses;Seifen- und Dekorrosen;Rosas de jabón y decorativas;Róże mydlane i dekoracyjne;Rosas de sabão e decorativas;Sabun ve dekoratif güller
CATALOG;catalog.brochure.comparison.hint;Comparison hint;true;Geselecteerde families · representatieve geselecteerde SKU;Familles sélectionnées · SKU sélectionnée représentative;Selected families · representative selected SKU;Ausgewählte Familien · repräsentative ausgewählte SKU;Familias seleccionadas · SKU seleccionada representativa;Wybrane rodziny · reprezentatywny wybrany SKU;Famílias selecionadas · SKU selecionado representativo;Seçilen aileler · temsilî seçilmiş SKU
CATALOG;catalog.brochure.comparison.nocounter;No counter families;true;Geen geselecteerde counterdisplayfamilies;Aucune famille de présentoirs sélectionnée;No selected counter-display families;Keine ausgewählten Thekendisplay-Familien;No hay familias de expositores seleccionadas;Brak wybranych rodzin ekspozytorów;Sem famílias de expositores selecionadas;Seçili tezgâh standı ailesi yok
CATALOG;catalog.brochure.comparison.nodecorative;No decorative families;true;Geen geselecteerde families met zeep- of decoratieve rozen;Aucune famille de roses savon ou décoratives sélectionnée;No selected soap or decorative-rose families;Keine ausgewählten Seifen- oder Dekorrosen-Familien;No hay familias de rosas de jabón o decorativas seleccionadas;Brak wybranych rodzin róż mydlanych lub dekoracyjnych;Sem famílias de rosas de sabão ou decorativas selecionadas;Seçili sabun veya dekoratif gül ailesi yok
CATALOG;catalog.brochure.category.eyebrow;Category opener eyebrow;true;DE ENROSED-COLLECTIE;LA COLLECTION ENROSED;THE ENROSED COLLECTION;DIE ENROSED-KOLLEKTION;LA COLECCIÓN ENROSED;KOLEKCJA ENROSED;A COLEÇÃO ENROSED;ENROSED KOLEKSİYONU
CATALOG;catalog.brochure.custom.eyebrow;Customisation eyebrow;true;PERSONALISATIE & PRIVATE LABEL;PERSONNALISATION & MARQUE PRIVÉE;CUSTOMISATION & PRIVATE LABEL;INDIVIDUALISIERUNG & PRIVATE LABEL;PERSONALIZACIÓN Y MARCA PRIVADA;PERSONALIZACJA I MARKA WŁASNA;PERSONALIZAÇÃO E MARCA PRÓPRIA;ÖZELLEŞTİRME VE ÖZEL MARKA
CATALOG;catalog.brochure.custom.title;Customisation title;true;Maak de collectie herkenbaar van u.;Rendez la collection reconnaissable comme la vôtre.;Make the collection recognisably yours.;Machen Sie die Kollektion unverkennbar zu Ihrer.;Haz que la colección sea reconociblemente tuya.;Nadaj kolekcji własny, rozpoznawalny charakter.;Torne a coleção reconhecidamente sua.;Koleksiyonu size özgü ve tanınır hâle getirin.
CATALOG;catalog.brochure.custom.body;Customisation body;true;Geselecteerde formaten kunnen worden aangepast voor retailprogramma's, geschenkconcepten en private-labelpresentatie. Haalbaarheid en minimumaantallen worden per project bevestigd.;Certains formats peuvent être adaptés aux programmes retail, concepts cadeaux et présentations en marque privée. La faisabilité et les minimums sont confirmés par projet.;Selected formats can be adapted for retail programmes, gifting concepts and private-label presentation. Feasibility and minimum quantities are confirmed per project.;Ausgewählte Formate können für Handelsprogramme, Geschenkideen und Private-Label-Präsentationen angepasst werden. Machbarkeit und Mindestmengen werden je Projekt bestätigt.;Algunos formatos pueden adaptarse a programas retail, conceptos de regalo y marca privada. La viabilidad y los mínimos se confirman por proyecto.;Wybrane formaty można dopasować do programów detalicznych, koncepcji prezentowych i marki własnej. Możliwości i minima są potwierdzane dla projektu.;Alguns formatos podem ser adaptados a programas de retalho, conceitos de presente e marca própria. A viabilidade e os mínimos são confirmados por projeto.;Seçili formatlar perakende programlarına, hediye konseptlerine ve özel marka sunumuna uyarlanabilir. Uygunluk ve minimum miktarlar proje bazında teyit edilir.
CATALOG;catalog.brochure.custom.imagealt;Custom presentation image alt;true;Gepersonaliseerde ENROSED-presentatie;Présentation ENROSED personnalisée;Custom ENROSED presentation;Individuelle ENROSED-Präsentation;Presentación ENROSED personalizada;Spersonalizowana prezentacja ENROSED;Apresentação ENROSED personalizada;Özel ENROSED sunumu
CATALOG;catalog.brochure.custom.stepone.title;Custom step one title;true;Kies;Choisir;Choose;Auswählen;Elegir;Wybierz;Escolher;Seç
CATALOG;catalog.brochure.custom.stepone.body;Custom step one body;true;Selecteer de familie, kleuren, maten en presentatie die bij uw kanaal passen.;Sélectionnez la famille, les couleurs, tailles et présentations adaptées à votre canal.;Select the family, colours, sizes and presentation that suit your channel.;Wählen Sie Familie, Farben, Größen und Präsentation passend zu Ihrem Kanal.;Selecciona la familia, colores, tamaños y presentación adecuados para tu canal.;Wybierz rodzinę, kolory, rozmiary i prezentację pasujące do kanału.;Selecione a família, cores, tamanhos e apresentação adequados ao seu canal.;Kanalınıza uygun aileyi, renkleri, boyutları ve sunumu seçin.
CATALOG;catalog.brochure.custom.steptwo.title;Custom step two title;true;Stel samen;Composer;Compose;Zusammenstellen;Componer;Skomponuj;Compor;Oluştur
CATALOG;catalog.brochure.custom.steptwo.body;Custom step two body;true;Bespreek sleeves, labels, counterdisplays, omdoosconfiguratie en geschenkdetails.;Discutez des étuis, étiquettes, présentoirs, cartons et détails cadeaux.;Discuss sleeves, labels, counter displays, carton configuration and gifting details.;Besprechen Sie Banderolen, Etiketten, Thekendisplays, Kartonkonfiguration und Geschenkdetails.;Define fundas, etiquetas, expositores, configuración de cajas y detalles de regalo.;Omów obwoluty, etykiety, ekspozytory, konfigurację kartonów i detale prezentowe.;Defina mangas, etiquetas, expositores, configuração de caixas e detalhes de presente.;Kılıfları, etiketleri, tezgâh standlarını, koli düzenini ve hediye detaylarını görüşün.
CATALOG;catalog.brochure.custom.stepthree.title;Custom step three title;true;Bevestig;Confirmer;Confirm;Bestätigen;Confirmar;Potwierdź;Confirmar;Onayla
CATALOG;catalog.brochure.custom.stepthree.body;Custom step three body;true;Ontvang de exacte offerte, visuele richting, minimumhoeveelheid en leverplanning.;Recevez le devis exact, la direction visuelle, la quantité minimale et le planning de livraison.;Receive the exact quote, visual direction, minimum quantity and delivery plan.;Erhalten Sie das genaue Angebot, die visuelle Richtung, Mindestmenge und Lieferplanung.;Recibe el presupuesto exacto, la dirección visual, la cantidad mínima y el plan de entrega.;Otrzymaj dokładną ofertę, kierunek wizualny, minimum i plan dostawy.;Receba o orçamento exato, direção visual, quantidade mínima e plano de entrega.;Kesin teklifi, görsel yönü, minimum miktarı ve teslimat planını alın.
CATALOG;catalog.brochure.custom.footer;Customisation footer;true;PERSONALISATIE;PERSONNALISATION;CUSTOMISATION;INDIVIDUALISIERUNG;PERSONALIZACIÓN;PERSONALIZACJA;PERSONALIZAÇÃO;ÖZELLEŞTİRME
CATALOG;catalog.brochure.custom.pagelabel;Private label page label;true;PRIVATE LABEL;MARQUE PRIVÉE;PRIVATE LABEL;PRIVATE LABEL;MARCA PRIVADA;MARKA WŁASNA;MARCA PRÓPRIA;ÖZEL MARKA
CATALOG;catalog.brochure.order.eyebrow;Ordering eyebrow;true;HOE BESTELLEN;COMMENT COMMANDER;HOW TO ORDER;SO BESTELLEN SIE;CÓMO PEDIR;JAK ZAMAWIAĆ;COMO ENCOMENDAR;NASIL SİPARİŞ VERİLİR
CATALOG;catalog.brochure.order.title;Ordering title;true;Van selectie tot levering.;De la sélection à la livraison.;From selection to delivery.;Von der Auswahl bis zur Lieferung.;De la selección a la entrega.;Od wyboru do dostawy.;Da seleção à entrega.;Seçimden teslimata.
CATALOG;catalog.brochure.order.body;Ordering body;true;Stuur de geselecteerde SKU's en aantallen. ENROSED bevestigt beschikbaarheid, prijs, vracht, levertijd en het praktische leverplan vóór de order definitief is.;Envoyez les SKU et quantités sélectionnées. ENROSED confirme la disponibilité, le prix, le transport, le délai et le plan de livraison avant validation.;Send the selected SKUs and quantities. ENROSED confirms availability, pricing, freight, lead time and the practical delivery plan before the order is final.;Senden Sie die ausgewählten SKUs und Mengen. ENROSED bestätigt Verfügbarkeit, Preis, Fracht, Lieferzeit und Lieferplan vor Abschluss.;Envía las SKU y cantidades. ENROSED confirma disponibilidad, precio, transporte, plazo y plan de entrega antes de cerrar el pedido.;Wyślij wybrane SKU i ilości. ENROSED potwierdzi dostępność, cenę, transport, termin i plan dostawy przed finalizacją.;Envie os SKU e quantidades. A ENROSED confirma disponibilidade, preço, transporte, prazo e plano de entrega antes da finalização.;Seçilen SKU ve miktarları gönderin. ENROSED sipariş kesinleşmeden stok, fiyat, nakliye, süre ve teslimat planını teyit eder.
CATALOG;catalog.brochure.order.stepone.title;Order step one title;true;Selecteer;Sélectionner;Select;Auswählen;Seleccionar;Wybierz;Selecionar;Seç
CATALOG;catalog.brochure.order.stepone.body;Order step one body;true;Gebruik deze brochure om de exacte productfamilies en kleur- of maatvarianten te kiezen.;Utilisez cette brochure pour choisir les familles et variantes exactes.;Use this brochure to choose the exact product families and colour or size variants.;Nutzen Sie diese Broschüre zur Auswahl der Produktfamilien und Varianten.;Usa este folleto para elegir las familias y variantes exactas.;Użyj broszury, aby wybrać dokładne rodziny i warianty.;Use esta brochura para escolher as famílias e variantes exatas.;Tam ürün ailelerini ve renk veya boyut varyantlarını seçmek için bu broşürü kullanın.
CATALOG;catalog.brochure.order.steptwo.title;Order step two title;true;Offerte;Devis;Quote;Angebot;Presupuesto;Oferta;Orçamento;Teklif
CATALOG;catalog.brochure.order.steptwo.body;Order step two body;true;Wij maken een actuele offerte voor de gevraagde mix, het volume en de bestemming.;Nous préparons un devis actuel pour la combinaison, le volume et la destination.;We prepare a current quotation for the requested mix, volume and destination.;Wir erstellen ein aktuelles Angebot für Mix, Volumen und Zielort.;Preparamos un presupuesto actualizado para la combinación, volumen y destino.;Przygotujemy aktualną ofertę dla zestawu, wolumenu i miejsca dostawy.;Preparamos um orçamento atual para a combinação, volume e destino.;İstenen ürün karması, hacim ve varış noktası için güncel teklif hazırlarız.
CATALOG;catalog.brochure.order.stepthree.title;Order step three title;true;Lever;Livrer;Deliver;Liefern;Entregar;Dostawa;Entregar;Teslim et
CATALOG;catalog.brochure.order.stepthree.body;Order step three body;true;Na bevestiging worden producten voorbereid en verzonden volgens het overeengekomen plan.;Après confirmation, les produits sont préparés et expédiés selon le plan convenu.;After confirmation, products are prepared and shipped according to the agreed plan.;Nach Bestätigung werden die Produkte gemäß Plan vorbereitet und versendet.;Tras la confirmación, los productos se preparan y envían según el plan acordado.;Po potwierdzeniu produkty są przygotowywane i wysyłane zgodnie z planem.;Após confirmação, os produtos são preparados e enviados segundo o plano acordado.;Onaydan sonra ürünler kararlaştırılan plana göre hazırlanır ve gönderilir.
